EXERCISE 9

mysql> select Account.email,
    -> Phone.content
    -> from Account
    -> join AddressBook on Account.id = AddressBook.accountId
    -> join Entry on AddressBook.id = Entry.AddressBookId
    -> join Phone on Entry.id = Phone.entryId
    -> where Phone.content not like '(%)%';
+-------------------------------------------------------+----------------+
| email                                                 | content        |
+-------------------------------------------------------+----------------+
| Proin.nisl@arcuMorbisit.net                           | 1-485-537-2426 |
| ipsum.Donec@tellus.ca                                 | 1-432-441-4780 |
| aptent@nequesedsem.edu                                | 1-307-836-1109 |
| Nam.consequat.dolor@nondapibusrutrum.ca               | 1-214-443-0290 |
| non.justo.Proin@variuset.edu                          | 1-765-240-6001 |
| Praesent@miDuis.net                                   | 1-230-221-1403 |
| ultrices.sit@arcu.co.uk                               | 1-933-411-8963 |
| diam.luctus.lobortis@ipsumac.ca                       | 1-217-683-0322 |
| adipiscing@Sedetlibero.ca                             | 1-363-312-3742 |
| et.ipsum.cursus@euaugue.com                           | 1-953-285-0954 |
| non@eget.com                                          | 1-447-297-5925 |
| neque.vitae@enimcommodohendrerit.net                  | 1-713-138-8065 |
| inceptos@dictummagna.org                              | 1-425-733-8123 |
| ridiculus.mus@euismod.net                             | 1-222-732-9450 |
| nulla.vulputate@Nullamscelerisque.co.uk               | 1-941-735-6014 |
| Suspendisse.non@nullavulputatedui.ca                  | 1-199-864-5100 |
| sit.amet.metus@orcilacus.net                          | 1-506-139-6333 |
| ultricies.adipiscing@cursusluctusipsum.co.uk          | 1-856-300-4636 |
| ultricies.adipiscing@cursusluctusipsum.co.uk          | 1-768-851-8916 |
| ultrices.sit@arcu.co.uk                               | 1-551-911-4116 |
| Quisque@Donec.net                                     | 1-923-788-5890 |
| natoque@perinceptoshymenaeos.net                      | 1-338-670-3648 |
| ipsum.Donec@tellus.ca                                 | 1-257-867-0566 |
| ultrices.sit@arcu.co.uk                               | 1-436-895-8796 |
| Vestibulum.ante.ipsum@egestasblanditNam.net           | 1-889-800-9270 |
| Vivamus.euismod.urna@anteNunc.net                     | 1-303-638-4150 |
| commodo@tincidunt.co.uk                               | 1-526-858-8854 |
| Vivamus.molestie@Infaucibus.org                       | 1-520-727-8601 |
| dapibus.quam@interdumligulaeu.ca                      | 1-795-477-6585 |
| Proin.nisl@arcuMorbisit.net                           | 1-262-471-8898 |
| lobortis@elementumpurus.co.uk                         | 1-440-731-0304 |
| Proin.nisl@arcuMorbisit.net                           | 1-516-476-2302 |
| magna.Praesent@Lorem.ca                               | 1-835-732-0205 |
| inceptos@dictummagna.org                              | 1-576-879-5834 |
| commodo@tincidunt.co.uk                               | 1-707-888-2787 |
| inceptos@dictummagna.org                              | 1-155-560-6351 |
| iaculis.nec@magnaCrasconvallis.co.uk                  | 1-126-595-8699 |
| facilisis.non@vulputateullamcorpermagna.ca            | 1-272-146-5304 |
| blandit@nec.com                                       | 1-506-455-6680 |
| Vivamus.euismod.urna@anteNunc.net                     | 1-519-116-5208 |
| sit.amet.metus@orcilacus.net                          | 1-327-293-1102 |
| Ut.sagittis.lobortis@semperduilectus.net              | 1-877-158-1811 |
| eu@Crasvulputatevelit.com                             | 1-712-403-3978 |
| et.ipsum.cursus@euaugue.com                           | 1-983-319-0898 |
| nec.ligula@sedtortorInteger.com                       | 1-716-957-3905 |
| Suspendisse.non@nullavulputatedui.ca                  | 1-164-741-1817 |
| commodo@tincidunt.co.uk                               | 1-146-826-8368 |
| ut@Integersemelit.org                                 | 1-217-977-2013 |
| Nam.consequat.dolor@nondapibusrutrum.ca               | 1-874-317-2489 |
| quam.dignissim.pharetra@sed.co.uk                     | 1-664-727-1636 |
| est.ac@etmalesuadafames.ca                            | 1-213-934-5487 |
| consectetuer.rhoncus.Nullam@temporloremeget.org       | 1-619-326-3662 |
| ridiculus.mus@euismod.net                             | 1-598-766-9531 |
| Morbi.neque@erat.org                                  | 1-286-745-2897 |
| neque.vitae@enimcommodohendrerit.net                  | 1-811-990-2618 |
| adipiscing@Sedetlibero.ca                             | 1-410-492-3992 |
| inceptos@dictummagna.org                              | 1-769-175-6037 |
| Vivamus.euismod.urna@anteNunc.net                     | 1-336-193-1111 |
| Praesent@miDuis.net                                   | 1-116-157-3520 |
| natoque@perinceptoshymenaeos.net                      | 1-924-830-4859 |
| egestas.Fusce.aliquet@nec.edu                         | 1-912-715-0333 |
| ridiculus.mus@euismod.net                             | 1-973-853-1399 |
| ultricies.adipiscing@cursusluctusipsum.co.uk          | 1-844-168-7125 |
| ultrices.sit@arcu.co.uk                               | 1-345-730-7826 |
| consectetuer.rhoncus.Nullam@temporloremeget.org       | 1-203-670-8601 |
| leo@temporloremeget.co.uk                             | 1-380-554-5763 |
| ridiculus.mus@euismod.net                             | 1-665-685-5382 |
| Quisque@Donec.net                                     | 1-581-724-8616 |
| natoque@perinceptoshymenaeos.net                      | 1-372-257-8577 |
| lorem@apurusDuis.edu                                  | 1-206-495-1425 |
| Suspendisse.non@nullavulputatedui.ca                  | 1-863-368-2937 |
| egestas.Fusce.aliquet@nec.edu                         | 1-826-300-6188 |
| Nam.consequat.dolor@nondapibusrutrum.ca               | 1-386-266-9477 |
| ipsum.Donec@tellus.ca                                 | 1-229-198-6716 |
| Nam.consequat.dolor@nondapibusrutrum.ca               | 1-579-683-7011 |
| adipiscing@Sedetlibero.ca                             | 1-219-984-2564 |
| Suspendisse.non@nullavulputatedui.ca                  | 1-395-184-0701 |
| eu.metus@atlibero.co.uk                               | 1-413-597-6316 |
| quam.dignissim.pharetra@sed.co.uk                     | 1-928-234-9600 |
| commodo@tincidunt.co.uk                               | 1-464-411-9555 |
| neque.vitae@enimcommodohendrerit.net                  | 1-650-808-7230 |
| semper.egestas.urna@ipsumSuspendissesagittis.ca       | 1-873-432-9306 |
| consectetuer.rhoncus.Nullam@temporloremeget.org       | 1-261-817-4211 |
| mauris@placeratCrasdictum.net                         | 1-847-924-9396 |
| adipiscing@Sedetlibero.ca                             | 1-355-753-8028 |
| inceptos@dictummagna.org                              | 1-387-726-9538 |
| natoque@perinceptoshymenaeos.net                      | 1-245-342-8807 |
| et.ipsum.cursus@euaugue.com                           | 1-418-921-5849 |
| adipiscing@Sedetlibero.ca                             | 1-115-604-8551 |
| Nam.consequat.dolor@nondapibusrutrum.ca               | 1-933-986-6219 |
| inceptos@dictummagna.org                              | 1-287-915-4975 |
